business	dictionary_code	item_code	item_short_name	item_full_name	analytical_attribute_code
FB	ACCOUNTS	ПОСТУПЛЕНИЯ_ВН	ПОСТУПЛЕНИЯ_ВН	Бухгалтерский счет ПОСТУПЛЕНИЯ_ВН	account
FB	ACCOUNTS	ПОСТУПЛЕНИЯ_КУ	ПОСТУПЛЕНИЯ_КУ	Бухгалтерский счет ПОСТУПЛЕНИЯ_КУ	account
FB	ACCOUNTS	ПОФР_1	ПОФР_1	Бухгалтерский счет ПОФР_1	account
FB	ACCOUNTS	ПОФР_БДЖ_1	ПОФР_БДЖ_1	Бухгалтерский счет ПОФР_БДЖ_1	account
FB	ACCOUNTS	ПОФР_БДЖ_2	ПОФР_БДЖ_2	Бухгалтерский счет ПОФР_БДЖ_2	account
FB	ACCOUNTS	ПОФР_ГАБС5_1	ПОФР_ГАБС5_1	Бухгалтерский счет ПОФР_ГАБС5_1	account
FB	ACCOUNTS	ПОФР_ГАБС_1	ПОФР_ГАБС_1	Бухгалтерский счет ПОФР_ГАБС_1	account
FB	ACCOUNTS	ПОФР_ГРБС5_1	ПОФР_ГРБС5_1	Бухгалтерский счет ПОФР_ГРБС5_1	account
FB	ACCOUNTS	ПОФР_ГРБС5_2	ПОФР_ГРБС5_2	Бухгалтерский счет ПОФР_ГРБС5_2	account
FB	ACCOUNTS	ПОФР_УТВ_ГРБС_1	ПОФР_УТВ_ГРБС_1	Бухгалтерский счет ПОФР_УТВ_ГРБС_1	account
FB	ACCOUNTS	ПОФР_УТВ_ГРБС_2	ПОФР_УТВ_ГРБС_2	Бухгалтерский счет ПОФР_УТВ_ГРБС_2	account
FB	ACCOUNTS	РСЧ_ВЫБ_ДЕБ	РСЧ_ВЫБ_ДЕБ	Бухгалтерский счет РСЧ_ВЫБ_ДЕБ	account
FB	ACCOUNTS	РСЧ_ВЫБ_КРД	РСЧ_ВЫБ_КРД	Бухгалтерский счет РСЧ_ВЫБ_КРД	account
FB	ACCOUNTS	РСЧ_ПОСТ_ДЕБ_Р	РСЧ_ПОСТ_ДЕБ_Р	Бухгалтерский счет РСЧ_ПОСТ_ДЕБ_Р	account
FB	ACCOUNTS	РСЧ_ПОСТ_КРД_В	РСЧ_ПОСТ_КРД_В	Бухгалтерский счет РСЧ_ПОСТ_КРД_В	account
FB	ACCOUNTS	СРЕД	СРЕД	Бухгалтерский счет СРЕД	account
FB	ACCOUNTS	СРЕД_1	СРЕД_1	Бухгалтерский счет СРЕД_1	account
FB	ACCOUNTS	СРЕД_АКР_1	СРЕД_АКР_1	Бухгалтерский счет СРЕД_АКР_1	account
FB	ACCOUNTS	СРЕД_ЕКС_ВАЛ_Н	СРЕД_ЕКС_ВАЛ_Н	Бухгалтерский счет СРЕД_ЕКС_ВАЛ_Н	account
FB	ACCOUNTS	СРЕД_ЕКС_КУ	СРЕД_ЕКС_КУ	Бухгалтерский счет СРЕД_ЕКС_КУ	account
FB	ACCOUNTS	СС_БАЛ_ВАЛ	СС_БАЛ_ВАЛ	Бухгалтерский счет СС_БАЛ_ВАЛ	account
FB	BUDGETS	99010001	99010001	Бюджет 99010001	budgetCode
FB	CONTOUR_CODES	1	1	Контур 1	contourCode
FB	CURRENCY	643	643	Валюта 643	currencyCode
FB	CURRENCY	840	840	Валюта 840	currencyCode
FB	DOCUMENTS	0000000002	0000000002	Документ 0000000002	documentId
FB	DOCUMENTS	0000000004	0000000004	Документ 0000000004	documentId
FB	DOCUMENTS	0000000005	0000000005	Документ 0000000005	documentId
FB	DOCUMENTS	0000000006	0000000006	Документ 0000000006	documentId
FB	DOCUMENTS	0000000008	0000000008	Документ 0000000008	documentId
FB	DOCUMENTS	0000000009	0000000009	Документ 0000000009	documentId
FB	DOCUMENTS	0000000010	0000000010	Документ 0000000010	documentId
FB	DOCUMENTS	0000000012	0000000012	Документ 0000000012	documentId
FB	DOCUMENTS	0000000013	0000000013	Документ 0000000013	documentId
FB	DOCUMENTS	0000000016	0000000016	Документ 0000000016	documentId
FB	DOCUMENTS	0000000017	0000000017	Документ 0000000017	documentId
FB	DOCUMENTS	0000000018	0000000018	Документ 0000000018	documentId
FB	DOCUMENTS	0000000024	0000000024	Документ 0000000024	documentId
FB	DOCUMENTS	0000000025	0000000025	Документ 0000000025	documentId
FB	DOCUMENTS	0000000026	0000000026	Документ 0000000026	documentId
FB	DOCUMENTS	0000000035	0000000035	Документ 0000000035	documentId
FB	DOCUMENTS	0000000042	0000000042	Документ 0000000042	documentId
FB	DOCUMENTS	0000000043	0000000043	Документ 0000000043	documentId
FB	DOCUMENTS	0000000047	0000000047	Документ 0000000047	documentId
FB	DOCUMENTS	0000000074	0000000074	Документ 0000000074	documentId
FB	DOCUMENTS	0000000076	0000000076	Документ 0000000076	documentId
FB	DOCUMENTS	0000000153	0000000153	Документ 0000000153	documentId
FB	DOCUMENTS	0000000188	0000000188	Документ 0000000188	documentId
FB	DOCUMENTS	0000000190	0000000190	Документ 0000000190	documentId
FB	DOCUMENTS	0000000191	0000000191	Документ 0000000191	documentId
